gene,log2FoldChange,t_statistic,p_value,p_adjusted,q_value,significant,significant_fdr
ACSF3,0.27009773917038693,1.2670115217753117,0.2300349243664355,1.0,0.6644263136070979,False,False
ACSL1,0.2309614810469487,1.0195309311904814,0.3248609041225929,1.0,0.7404877538426469,False,False
ACSL3,0.06366815896844358,0.6502063031297199,0.5236867926215304,1.0,0.8512981387262117,False,False
ACSL4,0.01991162397124846,0.11569517455832388,0.9090947848638754,1.0,0.9769416146373957,False,False
ACSL5,0.1812797250825966,0.8368301427720686,0.41757674909217385,1.0,0.7986551619750012,False,False
ACSL6,-0.3153977116528548,-1.4052038210020905,0.17627390604493773,1.0,0.611520069574579,False,False
ACSM1,0.33803549753715334,0.6508976549520101,0.5216514663567429,1.0,0.851057071472281,False,False
ACSM2A,-0.4374784889724137,-0.978420171655656,0.33880197780791493,1.0,0.7508986356541117,False,False
ACSM2B,-0.09180844676574607,-0.280300273713114,0.7833157395327105,1.0,0.9438358871556981,False,False
ACSM3,-0.2865714975010547,-0.6064992733939143,0.5529280647406832,1.0,0.8618912008200739,False,False
ACSM5,-0.5813401722159401,-2.7763153308587687,0.01698725441742587,1.0,0.2921143445593899,False,False
ACSS1,0.26499490949341986,1.1373534004674757,0.2771918711595102,1.0,0.7013292980365152,False,False
ACSS2,0.17679306427126384,1.1680748813183661,0.27098812451223425,1.0,0.6963897009607,False,False
ACSS3,0.04441084536728823,0.21290611386330668,0.8340165680506652,1.0,0.9576170558952711,False,False
ACTA1,-0.19500103769755128,-0.4277793752676795,0.6743694377836973,1.0,0.9112201382450249,False,False
ACTA2,-0.632664891494862,-1.5721587102589056,0.14016953278357994,1.0,0.5729612808087854,False,False
ACTA2-AS1,0.2443178102199406,0.4207853095674815,0.6813039381019332,1.0,0.9143521799953338,False,False
ACTB,0.0068861793301486784,0.08307836297075147,0.9348477895593424,1.0,0.9824531995033312,False,False
ACTBP9,-0.32211790118146233,-1.1052327995704767,0.2842024929901666,1.0,0.7072970217039466,False,False
ACTC1,-0.7408497167303816,-3.0748311381576556,0.005377435165279094,1.0,0.19652986532498967,False,False
ACTG1,-0.32717397075924204,-3.29680845212348,0.003158765795080076,1.0,0.17732050422641438,False,False
ACTG1P17,0.22042202694708246,0.9966863085244949,0.3302302722703014,1.0,0.7439776858360287,False,False
ACTG1P4,0.05964491755075674,0.43641512767990465,0.6687647635349119,1.0,0.9085240457809388,False,False
ACTG2,-0.08775232337481942,-0.23243829811491834,0.820431613430053,1.0,0.9542528401031128,False,False
ACTL10,-0.06437819089105812,-0.1476778326251719,0.884256278907275,1.0,0.9719655472809131,False,False
ACTL6A,0.2775881301364178,1.5885297464967956,0.12600483041041396,1.0,0.5528369202694944,False,False
ACTL6B,-0.2546918079501719,-0.35110906724952146,0.73034749349347,1.0,0.9293631001466542,False,False
ACTL7A,0.008178237770238406,0.01678452770247382,0.9868836762786525,1.0,0.9966493567414811,False,False
ACTL7B,-0.03351260754654728,-0.0869217867937104,0.9316058155725797,1.0,0.9814558244062367,False,False
ACTL8,0.1861690858463354,0.6735513470240276,0.5095871423361499,1.0,0.8456038362957111,False,False
ACTL9,-0.5796933855390676,-0.8556267602353864,0.40346616814457803,1.0,0.7910808385341983,False,False
ACTN1,0.19099686754252154,0.7805261292641359,0.4512588866138171,1.0,0.8158210500915518,False,False
ACTN2,-0.30870475059498936,-1.2479110180081003,0.23122292242439538,1.0,0.6658501363903789,False,False
ACTN3,0.29165175490853823,0.4574696770211297,0.6541042265621138,1.0,0.9032654122892106,False,False
ACTN4,0.5449186440020508,2.548494785315925,0.02318746610152395,1.0,0.31758782435204,False,False
ACTR10,-0.7164876151818085,-3.0671371334132673,0.009731686471644312,1.0,0.2438972169503471,False,False
ACTR1A,-0.2721565354278841,-1.7254294980788993,0.11136623384454021,1.0,0.5340511531988344,False,False
ACTR1B,0.040490288305214506,0.32830582321655877,0.7456759565618705,1.0,0.934419264661836,False,False
ACTR2,-0.0046557177185082566,-0.03593606466769727,0.9718155953486602,1.0,0.9914744330043584,False,False
ACTR3,-0.12971081472969992,-1.0102210993432232,0.33243530187575654,1.0,0.7455348725409908,False,False
ACTR3B,-0.0680833573874784,-0.3714149871040184,0.7161253462294913,1.0,0.9247600767375207,False,False
ACTR3BP2,0.20032254010600603,0.7355861006111011,0.4751033809132228,1.0,0.8266453192884438,False,False
ACTR3C,-0.7978637607689869,-1.8824061595151993,0.07253417336184204,1.0,0.46871776446452507,False,False
ACTR5,0.01110852872809609,0.09900298759753402,0.9221250404901024,1.0,0.9794272456216084,False,False
ACTR6,-0.2042481535731353,-1.233597477319424,0.23696566396976776,1.0,0.6723627387013494,False,False
ACTR8,-0.19202325206682147,-2.08230387755485,0.05655936148366398,1.0,0.4312434310159095,False,False
ACTRT2,-0.39350790735224006,-0.9435826201877188,0.361911763788413,1.0,0.7638711231198306,False,False
ACTRT3,-1.1437401704841976,-2.369630134873677,0.026975646439686023,1.0,0.3340640664912401,False,False
ACVR1,0.05395181931281279,0.4480225853966281,0.6588212818886434,1.0,0.9052763071698203,False,False
ACVR1B,-0.14300324215211102,-1.1951903632745178,0.24505594421598317,1.0,0.6782146606646288,False,False
ACVR1C,0.2666936948380103,1.8192965738443463,0.08900823105015464,1.0,0.5026259787500541,False,False
ACVR2A,0.10497670566876316,0.88870319205063,0.3841515268093483,1.0,0.7780175669353522,False,False
ACVR2B,0.27381342612889714,1.4096435784723824,0.19122209094919926,1.0,0.626696916125629,False,False
ACVRL1,-0.22367133771648806,-0.530668613250849,0.6015160501697695,1.0,0.8839907888664721,False,False
ACY1,0.7473481067376964,2.6544405228532906,0.015256351803230823,1.0,0.2818724606777344,False,False
ACY3,0.1389710714352046,0.3742003989671893,0.713852565625018,1.0,0.9239306152246515,False,False
ACYP1,0.0055412088862976105,0.025789361762217366,0.9797063271196292,1.0,0.9942059298918788,False,False
ADA,0.9540933564787126,3.8178018908142364,0.0017584102420150109,1.0,0.1494431394530057,False,False
ADAD1,-0.07714723075541219,-0.36340300618745625,0.7205021782545756,1.0,0.9255964989522445,False,False
ADAD2,-0.766037988419261,-1.6544850311685937,0.11623177105217172,1.0,0.5406182444904428,False,False
ADAL,0.12815600947644867,1.2680905939159184,0.21820668048138822,1.0,0.6524860642659032,False,False
ADAM10,0.10890262984551136,1.0591181123117717,0.3067578845555982,1.0,0.7267191840527996,False,False
ADAM11,0.5989030182494499,1.4854231272482459,0.1575698449306717,1.0,0.5938467444512591,False,False
ADAM12,0.3616001032023499,1.745845237722548,0.10140100092797022,1.0,0.5221975250967007,False,False
ADAM15,-0.2909360959918379,-1.1392189891865974,0.27193149214863677,1.0,0.6971937382325467,False,False
ADAM17,0.13790661431290197,0.9161142590513158,0.37407953731932864,1.0,0.7736470344810207,False,False
ADAM18,0.5745554739743186,1.0554331956549559,0.3097642636378877,1.0,0.7280065970054741,False,False
ADAM19,0.16961784180833384,0.8589260866634534,0.4105968324632891,1.0,0.7959508766386932,False,False
ADAM2,-0.3028979821192652,-0.5057188443384646,0.6180039111020257,1.0,0.890040811402299,False,False
ADAM20,-0.20768970572955947,-0.625020362805712,0.5387366862861152,1.0,0.8564211576076292,False,False
ADAM21,0.3478702704396679,1.2960467778824702,0.21369753625675694,1.0,0.6464067095755996,False,False
ADAM22,0.047533309985474226,0.2961563543691019,0.7701201613852704,1.0,0.9410988306097134,False,False
ADAM23,-0.4137368953715823,-1.1662485269468077,0.2587812435567154,1.0,0.6883815728921375,False,False
ADAM28,0.2122991227568205,0.5420734547402511,0.5973477098535033,1.0,0.8820158633561979,False,False
ADAM30,0.07131435019543497,0.13751531592326408,0.8918370050595845,1.0,0.9736429239546652,False,False
ADAM32,0.08445998776459307,0.16707974436255146,0.8697441169079825,1.0,0.9680127127769446,False,False
ADAM33,0.17405250429975094,0.7439737682059203,0.4644887289105845,1.0,0.8224636344871532,False,False
ADAM3A,0.37413684479112996,0.995577009645374,0.32991776098925746,1.0,0.7436595029919831,False,False
ADAM3B,0.594547581071363,1.0842069730925674,0.2946305033522112,1.0,0.7158515497787524,False,False
ADAM5,0.040944934521766285,0.18149085764938686,0.857915654757775,1.0,0.9639810678094429,False,False
ADAM6,-0.4060668727667962,-0.8544044262453737,0.40271666408455703,1.0,0.790577247639174,False,False
ADAM7,0.24534871144675074,0.5275534887397141,0.6086756664405011,1.0,0.8860551225613115,False,False
ADAM8,-0.19364152892971997,-0.43960155598462286,0.6656618943603206,1.0,0.9074189712883394,False,False
ADAM9,0.0640250995721372,0.35900138876626647,0.7234266530235759,1.0,0.9264316429028321,False,False
ADAMDEC1,-0.4799451849438725,-1.1645368566547012,0.25632533619363124,1.0,0.6865597437911833,False,False
ADAMTS1,0.7431313399548642,1.6527104628377445,0.1283385723041395,1.0,0.55610819683644,False,False
ADAMTS10,-0.33814964261081926,-1.05790458348995,0.30982584675524494,1.0,0.7280065970054741,False,False
ADAMTS12,-0.06933726300761123,-0.19526130822632137,0.8478374542075594,1.0,0.9619873147646426,False,False
ADAMTS13,-0.2051956525805494,-0.9596574730050496,0.35100455010144477,1.0,0.7578820419608322,False,False
ADAMTS14,-0.30694874910194603,-0.859964108882871,0.4038255212850612,1.0,0.7914994800990786,False,False
ADAMTS15,-0.014839310862259314,-0.05753059142967913,0.9546350369514089,1.0,0.9875707418240713,False,False
ADAMTS16,0.3696215376344256,1.2833811700473747,0.21500232703448588,1.0,0.6475423859033925,False,False
